Latitude,Longitude,UTM_Easting,UTM_Northing,UTM_Zone_Number,UTM_Zone_Letter
55.916681,9.196431,512277.30675678374,6196823.902328806,32,U
55.916686,9.196424,512276.867664218,6196824.4575641975,32,U
55.916691,9.196416,512276.36606999167,6196825.012622177,32,U
55.916696,9.196409,512275.92697766045,6196825.567857664,32,U
55.916701,9.196402,512275.4878854401,6196826.123093195,32,U
55.916706,9.196394,512274.9862915832,6196826.678151335,32,U
55.916711,9.196387,512274.54719959584,6196827.233386964,32,U
55.916717,9.19638,512274.10779178294,6196827.8999181725,32,U
55.916723,9.196373,512273.66838410497,6196828.566449427,32,U
55.916728,9.196366,512273.2292924774,6196829.121685191,32,U
55.916735,9.196359,512272.78956915386,6196829.899512072,32,U
55.916741,9.196352,512272.35016188066,6196830.566043461,32,U
55.916747,9.196345,512271.910754744,6196831.232574894,32,U
55.916754,9.196338,512271.4710318702,6196832.010401909,32,U
55.91676,9.196332,512271.09412667376,6196832.677110816,32,U
55.916767,9.196325,512270.65440409386,6196833.454937916,32,U
55.916774,9.196319,512270.2771833095,6196834.23294243,32,U
55.916781,9.196313,512269.8999626584,6196835.010946981,32,U
55.916787,9.196307,512269.5230579647,6196835.677656027,32,U
55.916794,9.196302,512269.20833918295,6196836.455837996,32,U
55.916808,9.196291,512268.5164003716,6196838.0120246615,32,U
55.916816,9.196286,512268.2013661512,6196838.901502244,32,U
55.916823,9.196281,512267.88664783677,6196839.679684314,32,U
55.91683,9.196277,512267.63443118596,6196840.458043737,32,U
55.916838,9.196272,512267.31939732196,6196841.347521388,32,U
55.916853,9.196263,512266.752147239,6196843.015358541,32,U
55.91686,9.19626,512266.5624324845,6196843.793895352,32,U
55.916867,9.196256,512266.31021630566,6196844.572254857,32,U
55.916875,9.196253,512266.1201859629,6196845.462087227,32,U
55.916883,9.19625,512265.93015569553,6196846.351919604,32,U
55.916891,9.196247,512265.74012550677,6196847.241751995,32,U
55.916907,9.196241,512265.36006535846,6196849.021416801,32,U
55.916916,9.196238,512265.1697196887,6196850.0225447565,32,U
55.916933,9.196234,512264.91434707923,6196851.913859741,32,U
55.916941,9.196233,512264.8493200768,6196852.804046764,32,U
55.91695,9.196231,512264.72147604247,6196853.805352038,32,U
55.916958,9.19623,512264.6564491055,6196854.695539067,32,U
55.916966,9.196229,512264.5914221956,6196855.585726096,32,U
