OSD.latitude,OSD.longitude
55.91493,9.203146
55.914932,9.203139
55.914933,9.203133
55.914934,9.203128
55.914936,9.203124
55.914937,9.203121
55.914938,9.203118
55.914939,9.203117
55.91494,9.203117
55.914941,9.203117
55.914941,9.203118
55.914943,9.203119
55.914944,9.20312
55.914945,9.203121
55.914946,9.203122
55.914947,9.203122
55.914948,9.203123
55.914949,9.203124
55.91495,9.203124
55.91495,9.203125
55.914951,9.203125
55.914951,9.203126
55.914952,9.203127
55.914951,9.203127
55.914951,9.203128
55.914951,9.203128
55.914951,9.203129
55.914951,9.203129
55.91495,9.20313
55.91495,9.20313
55.914949,9.203131
55.914949,9.203131
55.914948,9.203131
55.914948,9.203131
55.914948,9.203131
55.914947,9.203131
55.914947,9.203132
55.914947,9.203132
55.914946,9.203132
55.914946,9.203132
55.914946,9.203132
55.914945,9.203132
55.914945,9.203131
55.914945,9.203131
55.914944,9.203131
55.914944,9.203131
55.914944,9.203131
55.914943,9.203131
55.914943,9.20313
55.914943,9.20313
55.914942,9.20313
55.914942,9.20313
55.914942,9.20313
55.914942,9.20313
55.914941,9.20313
55.914941,9.20313
55.914941,9.20313
55.914941,9.20313
55.914941,9.203131
55.914941,9.203131
55.914941,9.203131
55.914941,9.203131
55.914941,9.203131
55.914941,9.203131
55.914941,9.203131
55.914941,9.203132
55.914941,9.203132
55.914941,9.203132
55.914941,9.203132
55.91494,9.203132
55.91494,9.203133
55.91494,9.203133
55.91494,9.203133
55.91494,9.203133
55.91494,9.203133
55.91494,9.203134
55.91494,9.203134
55.91494,9.203134
55.91494,9.203134
55.91494,9.203134
55.91494,9.203135
55.914939,9.203135
55.914939,9.203135
55.91494,9.203135
55.91494,9.203135
55.91494,9.203135
55.91494,9.203135
55.91494,9.203135
55.91494,9.203134
55.914941,9.203134
55.914941,9.203134
55.914941,9.203134
55.914941,9.203134
55.914941,9.203134
55.914941,9.203134
55.914942,9.203134
55.914942,9.203134
55.914942,9.203134
55.914942,9.203133
55.914943,9.203133
55.914943,9.203133
55.914943,9.203133
55.914943,9.203133
55.914944,9.203133
55.914944,9.203133
55.914944,9.203133
55.914945,9.203133
55.914945,9.203133
55.914945,9.203133
55.914945,9.203133
55.914945,9.203133
55.914946,9.203133
55.914946,9.203133
55.914946,9.203133
55.914946,9.203134
55.914946,9.203134
55.914946,9.203134
55.914946,9.203134
55.914946,9.203134
55.914947,9.203134
55.914947,9.203134
55.914947,9.203134
55.914947,9.203135
55.914947,9.203135
55.914947,9.203135
55.914947,9.203135
55.914947,9.203135
55.914947,9.203135
55.914947,9.203135
55.914947,9.203136
55.914947,9.203136
55.914947,9.203136
55.914947,9.203136
55.914947,9.203136
55.914947,9.203136
55.914947,9.203137
55.914947,9.203137
55.914947,9.203137
55.914947,9.203137
55.914947,9.203137
55.914947,9.203137
55.914947,9.203138
55.914947,9.203138
55.914947,9.203138
55.914947,9.203138
55.914947,9.203138
55.914947,9.203138
55.914947,9.203138
55.914946,9.203139
55.914946,9.203139
55.914946,9.203139
55.914946,9.203139
55.914946,9.203139
55.914946,9.203139
55.914945,9.20314
55.914945,9.20314
55.914945,9.20314
55.914945,9.20314
55.914945,9.20314
55.914945,9.20314
55.914945,9.203141
55.914944,9.203141
55.914944,9.203141
55.914944,9.203141
55.914944,9.203141
55.914944,9.203142
55.914944,9.203142
55.914944,9.203142
55.914944,9.203142
55.914943,9.203142
55.914943,9.203143
55.914943,9.203143
55.914943,9.203143
55.914943,9.203143
55.914943,9.203143
55.914943,9.203143
55.914943,9.203143
55.914943,9.203143
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914943,9.203144
55.914944,9.203144
55.914944,9.203144
55.914944,9.203144
55.914944,9.203144
55.914944,9.203144
55.914944,9.203144
55.914944,9.203144
55.914944,9.203144
55.914944,9.203145
55.914944,9.203145
55.914944,9.203145
55.914944,9.203145
55.914944,9.203145
55.914945,9.203145
55.914945,9.203145
55.914945,9.203145
55.914945,9.203145
55.914945,9.203145
55.914945,9.203145
55.914945,9.203145
55.914945,9.203145
55.914945,9.203145
55.914945,9.203145
55.914946,9.203145
55.914946,9.203145
55.914946,9.203145
55.914946,9.203145
55.914946,9.203145
55.914946,9.203145
55.914947,9.203145
55.914947,9.203145
55.914947,9.203145
55.914947,9.203145
55.914947,9.203145
55.914947,9.203145
55.914947,9.203145
55.914947,9.203145
55.914947,9.203145
55.914948,9.203145
55.914948,9.203145
55.914948,9.203145
55.914948,9.203145
55.914948,9.203145
55.914948,9.203145
55.914948,9.203145
55.914948,9.203145
55.914948,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.914949,9.203145
55.91495,9.203145
